Date,Dakar,Saint-Louis,Nouakchott,Kayes,Tambacounda,Touba,Kolda,Kaolack,Bangkok,Mumbai,ṢoPaulo
1/1/07,450,418.8094511,740,525.1,450,396.5059892,440,460,292.16,265,800
2/1/07,460,427.8675083,740,538.1,450,398.0162868,470,460,294.19,266.1,810
3/1/07,500,454.0184263,740,555.1,500,403.5719345,500,470,296.44,266.9,810
4/1/07,520,521.4343508,750,546,490,411.6587522,520,520,293.82,272.8,840
5/1/07,510,515.1987761,770,545.8,510,412.1590208,540,550,297.92,294.3,840
6/1/07,510,510.8506726,750,542.1,510,408.6805381,500,540,307.42,294.3,870
7/1/07,480,560.8420206,760,554.1,510,417.370806,520,510,308.82,301.9,870
8/1/07,460,464.7228134,750,550.3,490,415.3946935,480,500,303.66,300.1,840
9/1/07,490,468.1898584,740,561.3,510,472.5983553,500,520,300.13,301.2,920
10/1/07,540,466.0661567,750,531.4,540,455.2274089,500,560,307.96,315.1,890
11/1/07,560,536.3609119,770,604.4,570,469.3157979,540,590,323.93,323.3,930
12/1/07,560,547.9520127,770,544.5,560,465.8701323,540,590,325.74,329.6,960
1/1/08,600,560.5068237,780,549.7,620,515.6662778,620,610,351.13,346,1090
2/1/08,650,575.9038567,770,550.8,640,583.3830518,660,620,419.01,364.9,1040
3/1/08,670,664.0836861,800,757.3,740,649.3262709,770,680,539.96,359.3,1000
4/1/08,720,720.7645294,810,816.3,840,720.7645294,720,720,800.4,362.3,1080
5/1/08,710,676.7397197,840,806.3,740,694.5486597,740,680,753.81,344.2,1220
7/1/08,1120,748.140174,930,889.5,790,922.1448289,810,880,625.58,369.1,1500
8/1/08,990,760.4501865,950,844.3,780,804.2857372,740,820,596.82,369.7,1460
9/1/08,1030,986.0547751,950,777.5,900,881.9712155,830,930,627.49,347.9,1350
10/1/08,930,917.304771,850,760.6,880,805.1897435,760,840,529.03,325.8,1050
1/1/09,910,779.076193,780,767,910,762.1398203,680,810,519.16,333.4,960
2/1/09,830,854.8413034,790,740.6,800,664.3338129,650,670,517.98,314.7,1000
3/1/09,800,843.5758326,750,715.6,830,590.5030828,660,740,506.33,306.2,990
4/1/09,800,648.735027,760,583.1,800,557.2080697,660,800,467.75,319.6,1050
1/1/10,800,631.5364018,1430,587.4,730,560.7607705,760,790,517.48,381.8,1270
2/1/10,830,625.9424346,1240,584.1,660,516.4025085,690,690,483.02,376.8,1310
3/1/10,830,607.2488127,1190,590.6,650,507.1908273,640,660,445.73,391.6,1150
4/1/10,820,614.4705353,1140,613.2,670,496.697016,710,660,400.83,392.9,1150
5/1/10,770,577.0056331,1040,536.1,630,528.9218304,670,620,396.29,387.2,1160
6/1/10,720,553.8879958,1020,521.1,500,437.5249715,660,600,392.9,377.4,1120
7/1/10,780,583.0179692,990,545.4,550,476.1313415,700,640,388.66,368.3,1130
8/1/10,790,590.315752,990,550.2,610,501.7683892,690,640,408.86,383.9,1170
9/1/10,780,595.6457107,990,557.9,640,513.7444255,700,660,427.72,406.7,1170
10/1/10,850,635.2114206,990,593.2,690,555.809993,740,740,434.98,420.7,1170
12/1/10,810,584.1606256,1000,564.2,650,523.7302161,710,670,486.74,410.4,1120
2/1/11,830,624.061178,1000,645,650,540.8530209,700,700,479.68,407.2,1160
3/1/11,840,640.0370027,1000,672.3,670,597.3678692,660,680,440.74,411.2,1130
4/1/11,800,659.7839471,1030,682.5,700,599.303752,730,720,434.22,419.5,1160
6/1/11,780,657.3300961,870,680,700,613.5080897,740,720,465.82,399.8,1080
7/1/11,870,653.7267984,770,673.5,690,610.1450119,740,700,491.98,405.6,1160
8/1/11,760,656.5262539,760,677.8,680,641.9367087,740,710,516.47,393.7,1160
9/1/11,720,649.7299266,740,670.7,680,590.0250782,720,610,548.12,378.8,1060
10/1/11,720,660.4112237,700,668.6,690,605.5944818,730,710,556.03,366.3,1030
11/1/11,720,745.8946271,700,661.3,680,580.1402655,720,710,570.2,375.9,1070
12/1/11,690,804.2777927,690,642.9,660,593.1548721,700,720,532.52,362.3,1030
1/1/12,810,835.5815392,690,629.6,740,589.822263,750,700,488.97,374.9,1050
2/1/12,900,1007.127441,680,625,790,604.2764645,800,790,494.08,391.5,1100
3/1/12,1010,604.3929699,680,654.1,860,604.3929699,870,1010,500.94,382.5,1080
4/1/12,970,602.0211053,690,622,910,581.9537351,950,1000,517.9,371.6,1020
5/1/12,880,582.6655529,680,584.9,880,548.3911086,900,900,566.1,428.7,980
6/1/12,870,572.9223163,700,563.3,860,534.7274952,880,900,568.97,428.3,950
7/1/12,830,563.1921279,690,543.1,840,530.3392538,870,840,537.07,433.3,980
8/1/12,840,566.0879361,710,529.3,850,537.7835393,870,880,539.2,448.6,1040
9/1/12,870,587.6713601,710,588,880,548.4932694,880,900,539.54,394.7,1110
11/1/12,850,586.7052588,810,567.1,880,567.1484169,900,860,535.73,397.6,1240
4/1/13,940,594.9462882,800,595.7,890,575.1147453,920,870,527.47,394.2,1210
5/1/13,920,445.3188968,800,583.8,890,573.9665781,920,850,515.44,401.6,1170
6/1/13,890,522.2323343,830,593.1,790,582.4899114,920,860,495.65,402.4,1100
7/1/13,950,518.2027692,850,618.2,900,538.1336449,930,860,480.32,409.9,1030
8/1/13,960,913.8362113,940,598.6,910,550.8401607,860,860,441.88,366.1,1030
9/1/13,860,528.9094802,980,610.5,920,549.2521525,950,860,408.23,360.8,1080
10/1/13,910,540.3322711,1090,623.6,940,579.2985406,990,880,398.56,363.2,1110
11/1/13,930,925.846105,1000,617.1,840,573.5102262,980,870,400.08,351.3,1070
12/1/13,940,626.6666666,930,647.7,850,582.2777777,970,930,399.7,378.3,1020
1/1/14,900,579.3103449,910,643.2,930,558.6206897,940,880,398.67,378.1,960
2/1/14,910,543.908046,910,624.6,940,564.8275862,930,920,409.51,386.9,1040
3/1/14,920,549.8850574,890,632.2,950,571.0344827,950,940,368.09,388.6,1040
4/1/14,840,546,930,631.7,950,567,950,950,349.83,389.4,1130
5/1/14,830,539.5,930,622.3,930,560.2500001,930,930,343.52,396.3,1130
8/1/14,760,608,1090,588.7,890,550.5778454,930,910,397.55,378.3,1130
9/1/14,890,580.9722223,1190,570.4,890,543.8888889,890,890,392.39,385.7,1110
10/1/14,770,505.3125,1240,550.6,870,529.375,880,870,386.35,383.1,1070
11/1/14,710,485.1666667,1300,541.9,860,520.6666667,820,860,375.59,374.1,1040
12/1/14,700,518.51856,1300,545.2,850,513.3333333,790,850,376.43,366.5,1010
1/1/15,600,465.9763314,1300,504.9,800,479.2899409,750,800,378.5,362.8,1040
2/1/15,680,477.0408164,1330,493.1,780,468.367347,720,660,376.07,356.9,980
3/1/15,780,451.5789473,1270,470.9,740,443.368421,690,730,366.64,360.3,870
7/1/15,630,462,1130,486.1,750,462,680,750,352.57,369.2,820
8/1/15,610,463.39779,1050,492.5,760,463.39779,730,760,334.76,361.1,760
10/1/15,590,619.2419825,950,513.8,750,473.03207,700,730,335.61,354.3,730
9/1/16,600,428.5714286,960,529.9,730,471.4285715,730,600,347.88,367.1,1050
12/1/16,560,440,950,514.3,680,440,640,600,331.19,360.8,970
1/1/17,570,447.8571429,930,501.6,690,447.8571429,650,650,336.14,359.9,1020
2/1/17,570,447.8571429,930,503,730,447.8571429,700,650,329.38,365.2,1080
3/1/17,570,447.8571429,940,505,730,447.8571429,680,650,326.75,371.9,1080
4/1/17,570,439.7142857,960,506.8,690,447.8571429,690,650,336.54,386.4,1020
5/1/17,590,455.1428571,950,522.6,700,463.5714286,710,630,369.13,386.1,1020
6/1/17,600,462.8571429,950,530.7,680,471.4285715,710,680,409.95,380.2,940
7/1/17,610,470.5714286,950,543.9,720,522.8571429,750,700,376.08,380.1,1000
8/1/17,630,486,940,594,770,495,760,720,349.18,387.1,1000
9/1/17,640,493.7142857,970,599.4,830,502.8571429,760,730,355.02,393.5,1050
10/1/17,630,486,960,591.4,770,495,760,720,347.53,377.6,1020
11/1/17,630,486,960,590.5,790,495,780,680,353.29,374.4,980
12/1/17,630,486,960,595.4,800,495,720,720,357.72,388.5,980
1/1/18,650,501.4285714,990,613.4,830,510.7142857,740,740,385.94,400.7,1000
2/1/18,660,509.1428571,1000,621,850,518.5714286,750,750,380.68,400.8,980
3/1/18,750,506.25,1020,620.6,850,515.625,740,750,378.57,384.5,950
4/1/18,650,501.4285714,1020,617.6,830,510.7142857,750,750,403.04,388.5,900
5/1/18,670,487.6010782,1010,594.6,780,496.6307277,720,720,403.69,385.6,800
6/1/18,680,489.0288714,980,605.3,790,464.0419948,710,710,380.72,390.6,830
7/1/18,620,487.1428572,980,605.8,770,487.1428572,710,710,353.21,364.5,820
8/1/18,620,487.1428572,980,598.6,760,487.1428572,700,680,357.17,373.9,800
9/1/18,620,487.1428572,980,604.4,740,487.1428572,710,710,360.18,368.3,810
10/1/18,610,522.8571429,1010,595.2,710,479.2857143,700,560,360.96,353.1,880
11/1/18,630,520.661157,990,554.4,770,451.2396694,690,750,356.38,357.5,850
12/1/18,610,522.8571429,990,520.6,780,479.2857143,760,690,359.15,365.8,830
1/1/19,610,522.8571429,940,522.1,770,479.2857143,740,700,365.23,390.8,840
2/1/19,560,516.9230769,960,519.1,780,473.8461538,740,780,364.64,393.1,850
3/1/19,600,514.2857143,990,516.9,780,471.4285715,740,780,357.79,389.9,880
4/1/19,600,514.2857143,1040,514,780,471.4285715,750,770,367.54,368,800
5/1/19,600,514.2857143,1070,511.5,770,471.4285715,770,810,366.43,367,800
6/1/19,600,514.2857143,1060,516.5,770,471.4285715,770,820,374.13,371.8,830
7/1/19,600,514.2857143,1060,513.1,770,471.4285715,770,820,366.96,367.4,850
8/1/19,590,505.7142857,1070,508.9,760,463.5714286,790,810,382.34,365.4,810
9/1/19,590,505.7142857,1060,503.3,750,505.7142857,720,790,377.78,360.1,810
10/1/19,590,674.2857143,1050,505.5,780,505.7142857,720,760,375.48,351.9,800
11/1/19,590,505.7142857,1050,556,840,463.5714286,760,810,373.2,349.9,800
12/1/19,590,505.7142857,1050,508.3,800,505.7142857,800,770,381.42,351.2,760
1/1/20,590,505.7142857,1050,558.4,760,505.7142857,830,780,401.3,357.9,780
3/1/20,580,546.3768116,1050,556.6,840,504.3478261,790,790,446.22,338.6,690
6/1/20,590,568.4007138,1040,583.4,860,511.5606936,830,830,478.41,354.3,700
7/1/20,600,565.2173913,970,594.2,870,521.7391304,850,850,440.88,346,700
8/1/20,630,534.0517241,980,613.1,900,543.1034483,830,880,462.52,332.3,690
9/1/20,630,585,1080,611.2,900,540,900,880,455.49,326.6,870
10/1/20,630,540,1060,610.3,890,585,900,880,428.04,326.7,870
11/1/20,630,576,1070,613.6,900,554.99994,860,880,442.79,335.9,1020
12/1/20,650,594.2857142,1100,556.5,930,603.5714285,880,900,475.01,346.5,1050