Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,01,5317.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,02,5770,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,03,6576,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,04,7195,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,05,8466.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,06,8680,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,07,7850,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,08,7342.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,09,6130,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,10,5877.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,11,5057.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2008,12,4887.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,01,5116.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,02,5800,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,03,6260,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,04,6500,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,05,6016.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,06,5840,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,07,5900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,08,5562,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,09,5510,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,10,5975,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,11,6600,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2009,12,8100,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,01,8016.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,02,7655,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,03,5998,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,04,5883.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,05,5912.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,06,5775,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,07,5387.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,08,6244,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,09,7500,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,10,7750,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,11,8586,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2010,12,8845,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,01,8190,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,02,7870,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,03,8155,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,04,8510,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,05,8626,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,06,8390,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,07,8706.75,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,08,9576,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,09,9696.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,10,9994,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,11,10200,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2011,12,9116.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,01,8205,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,02,7810,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,03,7255,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,04,7262.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,05,7536,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,06,7360,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,07,7240,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,08,7630,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,09,8147.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,10,8104,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,11,8212.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2012,12,7615,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,01,7600,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,02,7156,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,03,7162.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,04,7135,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,05,7112,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,06,6925,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,07,6880,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,08,7166.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,09,6940,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,10,7187.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,11,7375,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2013,12,7925,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,01,7775,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,02,7700,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,03,7500,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,04,7187.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,05,7433.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,06,7320,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,07,7712.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,08,8375,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,09,8390,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,10,8062.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,11,7925,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2014,12,7240,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,01,7100,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,02,7000,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,03,7020,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,04,6975,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,05,6900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,06,6740,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,07,6600,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,08,6700,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,09,6700,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,10,6800,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,11,7475,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2015,12,7500,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,01,7366.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,02,7150,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,03,7375,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,04,7500,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,05,7425,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,06,7033.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,07,6766.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,08,6740,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,09,6500,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,10,6480,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,11,6800,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2016,12,6750,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,01,6750,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,02,6975,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,03,7100,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,04,6987.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,05,6770,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,06,7075,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,07,7660,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,08,7900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,09,7750,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,10,7800,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,11,8083.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,12,8025,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,01,8140,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,02,8900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,03,8650,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,04,8633.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,05,8900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,06,8900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,07,8825,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,08,8250,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,09,8253.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,10,8300,KG,VND,Agroinfo via FAO: GIEWS/FPMA
