Date-Monthly,"Mali, Wholesale, Kayes, Rice (imported), USD/tonne Commodity Code: 100610_2 "
21-Jan,575.2
20-Dec,556.5
20-Nov,613.6
20-Oct,610.3
20-Sep,611.2
20-Aug,613.1
20-Jul,594.2
20-Jun,583.4
20-May,565.1
20-Apr,563
20-Mar,556.6
20-Feb,548.6
20-Jan,558.4
19-Dec,508.3
19-Nov,556
19-Oct,505.5
19-Sep,503.3
19-Aug,508.9
19-Jul,513.1
19-Jun,516.5
19-May,511.5
19-Apr,514
19-Mar,516.9
19-Feb,519.1
19-Jan,522.1
18-Dec,520.6
18-Nov,554.4
18-Oct,595.2
18-Sep,604.4
18-Aug,598.6
18-Jul,605.8
18-Jun,605.3
18-May,594.6
18-Apr,617.6
18-Mar,620.6
18-Feb,621
18-Jan,613.4
17-Dec,595.4
17-Nov,590.5
17-Oct,591.4
17-Sep,599.4
17-Aug,594
17-Jul,543.9
17-Jun,530.7
17-May,522.6
17-Apr,506.8
17-Mar,505
17-Feb,503
17-Jan,501.6
16-Dec,514.3
16-Nov,510.4
16-Oct,521.1
16-Sep,529.9
16-Aug,529.9
16-Jul,506.2
16-Jun,513.6
16-May,517.3
16-Apr,518.6
16-Mar,490.7
16-Feb,490.4
16-Jan,496.7
15-Dec,497.5
15-Nov,491
15-Oct,513.8
15-Sep,513.2
15-Aug,492.5
15-Jul,486.1
15-Jun,495.7
15-May,492.9
15-Apr,468.3
15-Mar,470.9
15-Feb,493.1
15-Jan,504.9
14-Dec,545.2
14-Nov,541.9
14-Oct,550.6
14-Sep,570.4
14-Aug,588.7
14-Jul,598.6
14-Jun,621.6
14-May,622.3
14-Apr,631.7
14-Mar,632.2
14-Feb,624.6
14-Jan,643.2
13-Dec,647.7
13-Nov,617.1
13-Oct,623.6
13-Sep,610.5
13-Aug,598.6
13-Jul,618.2
13-Jun,593.1
13-May,583.8
13-Apr,595.7
13-Mar,592.9
13-Feb,611
13-Jan,587.5
12-Dec,580
12-Nov,567.1
12-Oct,573.6
12-Sep,588
12-Aug,529.3
12-Jul,543.1
12-Jun,563.3
12-May,584.9
12-Apr,622
12-Mar,654.1
12-Feb,625
12-Jan,629.6
11-Dec,642.9
11-Nov,661.3
11-Oct,668.6
11-Sep,670.7
11-Aug,677.8
11-Jul,673.5
11-Jun,680
11-May,678.1
11-Apr,682.5
11-Mar,672.3
11-Feb,645
11-Jan,631.4
10-Dec,564.2
10-Nov,582.8
10-Oct,593.2
10-Sep,557.9
10-Aug,550.2
10-Jul,545.4
10-Jun,521.1
10-May,536.1
10-Apr,613.2
10-Mar,590.6
10-Feb,584.1
10-Jan,587.4
09-Dec,578.7
09-Nov,613.9
09-Oct,632.4
09-Sep,621.5
09-Aug,609
09-Jul,579.8
09-Jun,576.9
09-May,602.5
09-Apr,583.1
09-Mar,715.6
09-Feb,740.6
09-Jan,767
08-Dec,726.9
08-Nov,679.3
08-Oct,760.6
08-Sep,777.5
08-Aug,844.3
08-Jul,889.5
08-Jun,782.4
08-May,806.3
08-Apr,816.3
08-Mar,757.3
08-Feb,550.8
08-Jan,549.7
07-Dec,544.5
07-Nov,604.4
07-Oct,531.4
07-Sep,561.3
07-Aug,550.3
07-Jul,554.1
07-Jun,542.1
07-May,545.8
07-Apr,546
07-Mar,555.1
07-Feb,538.1
07-Jan,525.1
06-Dec,533.8
06-Nov,520.3
06-Oct,576.7
06-Sep,582.1
06-Aug,585.9
06-Jul,580.1
06-Jun,578.5
06-May,535.3
06-Apr,514.4
06-Mar,503.9
06-Feb,500.5
06-Jan,507.4