Unnamed: 0,Date,CFA Westfranc,CFA Centfranc,Maurouguiya,Gambiadalasi,Guineafranc,SLleone,Liberiadollar,Ghanaold cedi,Ghana.1new cedi,Nigerianaira,DRCfranc,Angolakwanza,Sudanold pound,Sudan.1dinar,Sudan.2new pound,Eritreanakfa,Djiboutifranc,Ethiopiabirr,Somalishilling,Somali.1shillingM,SomaliliandshillingH,Kenyashilling,Ugandashilling,Tanzaniashilling,Rwandafranc,Burundifranc,Zambiaold kwacha,Zambia.1new kwacha,Malawikwacha,Mozold met,Moz.1new met,Zimdollar,Botswanapula,Namibiadollar,SArand,Lesotholoti,Swazililangeni
49,06-Feb,548.7375,548.9091,270.4472,28.2971,"4,441.53","2,355.00",56.5,"9,117.39",0.91173884,129.0309,433.5714,89.2302,"2,299.20",229.9429,,15.0,174.7591,8.7311,"1,613.78","14,200","6,438",71.808,"1,815.02","1,188.06",549.3176,957.6677,"3,268.48",,130.7308,"25,576.24",25.5762,"98,695",5.4007,6.1078,6.1029,6.1006,6.0993
50,06-Mar,545.6415,545.4818,264.0447,28.2615,"4,489.82","2,355.00",56.4355,"9,116.65",0.91166473,128.2129,431.2254,89.2302,"2,276.19",227.5799,,15.0,174.7293,8.6297,"1,560.05","13,410","6,450",72.2909,"1,819.57","1,210.11",547.9149,963.3981,"3,277.42",,132.3657,"26,659.35",26.6593,"99,106",5.4961,6.242000000000001,6.2408,6.2228,6.2308
51,06-Apr,536.0197,535.9661,263.6172,28.4267,"4,504.41","2,355.00",56.4333,"9,049.59",0.9049585,127.8803,432.0,89.2302,"2,266.65",224.7377,,15.0,174.7133,8.6778,"1,489.49","13,713","6,450",71.2762,"1,815.50","1,221.99",547.4683,975.0437,"3,203.69",,133.69899999999998,"26,990.43",26.9904,"99,021",5.4273,6.0937,6.0885,6.0945,6.0923
52,06-May,514.0349,514.033,272.618,28.1687,"4,503.84","2,355.00",56.5,"9,137.86",0.91378642,128.3673,432.0,89.2302,"2,266.65",222.36,,15.0,174.8212,8.7306,"1,423.37","13,643","6,300",71.7532,"1,815.50","1,242.06",547.4272,981.471,"3,179.80",,138.2476,"27,030.00",27.03,"101,040",5.5193,6.2994,6.2965,6.2886,6.2899
53,06-Jun,517.6765,517.6758,271.7275,28.1111,"4,576.09","2,355.00",56.5,"9,145.71",0.91457097,128.2206,432.0,89.2302,"2,266.65",219.3424,,15.0,174.3217,8.732000000000001,"1,379.84","14,150",,73.2877,"1,815.50","1,253.52",550.0133,979.513,"3,446.26",,139.1646,"27,030.00",27.03,"101,011",5.9171,6.9427,6.9435,6.9174,6.9271
54,06-Jul,516.7693,516.54,271.0566,28.095,"5,040.31","2,355.00",56.5,"9,174.07",0.91740695,127.9855,432.0,89.2302,"2,266.65",216.3463,,15.0,174.5431,8.7088,"1,371.50","14,417","6,320",73.6883,"1,819.64","1,265.03",549.7586,979.1616,"3,506.01",,138.6248,"27,030.00",27.03,"101,065",6.0279,7.093,7.0922,7.0676,7.0704
55,06-Aug,512.2218,512.1842,270.9707,28.1587,"5,479.42","2,355.00",56.5,"9,185.59",0.91855897,128.0357,432.0,89.2302,"2,266.65",213.6115,,15.0,174.6976,8.7153,"1,371.87","14,467","6,315",72.8398,"1,845.50","1,298.24",551.661,984.7589,"3,844.02",,136.747,"25,793.23",25.7932,"10,011",5.94,6.9285,6.9441,6.8986,6.9054
56,06-Sep,515.0793,515.0781,271.974,28.2425,"5,555.12","2,355.00",56.9167,"9,207.24",0.92072367,128.2084,432.0,87.4586,"2,266.65",212.179,,15.0,174.8155,8.7497,"1,372.84","13,567","6,305",72.8575,"1,845.80","1,317.05",551.295,"1,038.83","4,020.60",,137.9954,"25,136.67",25.1367,250,6.2412,7.431,7.4078,7.3141,7.3117
57,06-Oct,519.9723,519.8789,272.7323,27.9116,"5,554.72","2,355.00",57.0,"9,209.93",0.92099345,128.1363,432.0,80.3724,"2,266.65",212.0665,,15.0,174.7095,8.7459,"1,373.19","13,400","6,300",72.2899,"1,846.28","1,268.07",549.9587,"1,055.41","3,860.38",,137.577,"25,133.55",25.1335,250,6.3945,7.6581,7.6416,7.622999999999998,7.6464
58,06-Nov,509.9402,509.9471,271.123,27.8185,"5,557.68","2,355.00",57.0,"9,207.32",0.92073245,128.0611,432.0,80.3754,"2,266.65",214.0767,,15.0,174.6591,8.7465,"1,372.97","13,390","7,000",71.1381,"1,835.50","1,301.59",549.9078,"1,051.63","3,961.15",,137.886,"25,152.50",25.1525,250,6.2047,7.292000000000002,7.2689,7.2744,7.2947
59,06-Dec,496.9555,496.9268,271.8741,27.8537,"5,558.09","2,355.00",57.0,"9,218.65",0.92186535,128.3564,432.0,80.376,"2,266.65",212.1444,,15.0,174.8102,8.7865,"1,376.59","13,850","6,213",69.6433,"1,828.24","1,273.27",550.2458,"1,029.87","4,099.38",,138.8592,"25,175.32",25.1753,250,6.057,7.0489,7.0565,7.0423,7.0406
60,07-Jan,504.406,504.3972,270.9786,27.9937,"5,659.99","2,355.00",57.0,"9,218.74",0.92187434,128.0426,432.0,80.376,"2,266.65",209.4451,2.0826,15.0,175.4788,8.8049,"1,375.39","14,125","6,300",69.8817,"1,781.31","1,290.48",549.1962,"1,009.68","4,218.76",,139.1089,"25,669.68",25.6697,250,6.1598,7.1815,7.1854,7.146,7.1606
61,07-Feb,502.492,502.4186,269.7455,27.4713,"5,997.94","2,355.00",57.0,"9,235.07",0.92350711,128.1423,432.0,80.376,"2,266.65",200.908,2.0091,15.0,176.6611,8.8771,"1,364.47","14,975","6,275",69.675,"1,752.64","1,289.64",548.6124,"1,047.02","4,229.98",,139.4244,"25,794.29",25.7943,250,6.1854,7.1734,7.1653,7.1982,7.1983
62,07-Mar,495.5746,495.6248,271.1079,27.439,"5,968.89","2,355.00",57.0,"9,268.90",0.92689045,128.1008,432.0,80.0451,"2,266.65",200.737,2.0074,15.0,176.7523,8.8909,"1,356.04","15,733","6,275",69.2645,"1,754.10","1,257.07",547.2481,"1,041.51","4,249.31",,139.4888,"25,799.35",25.7994,250,6.305,7.3494,7.3495,7.3549,7.3314
63,07-Apr,485.8393,485.8991,270.8461,27.3822,"4,977.85","2,376.14",57.0,"9,265.16",0.92651615,127.8325,432.0,79.9658,"2,266.65",200.413,2.0041,15.0,175.7072,8.8584,"1,355.62","16,620","6,200",68.6169,"1,746.83","1,260.15",546.1557,"1,041.63","4,150.47",,139.8527,"25,789.33",25.7893,250,6.1797,7.1236,7.1185,7.1267,7.1297
64,07-May,485.2496,485.0437,262.1143,27.2542,"3,497.65","2,989.29",57.0,"9,255.67",0.92556698,127.3858,432.0,78.8145,"2,266.65",200.3348,2.0033,15.0,175.6596,8.855,"1,354.41","16,533","6,275",67.1737,"1,714.21","1,268.21",546.0627,"1,046.13","4,010.93",,140.14700000000002,"26,020.00",26.02,250,6.1301,7.0299,7.0085,7.0268,6.9953
65,07-Jun,489.3798,488.9443,261.0072,27.1526,"3,451.33","2,985.23",57.0,"9,262.44",0.9262437,127.3501,432.0,78.8145,"2,266.65",200.58,2.0058,15.0,175.6459,9.0335,"1,354.69","17,600","6,267",66.5429,"1,675.50","1,258.09",546.2676,"1,072.99","3,896.45",,140.2673,"25,820.00",25.82,250,6.2578,7.1784,7.1593,7.1735,7.1884
66,07-Jul,479.1902,479.034,258.966,26.311,"3,465.47","2,986.78",59.9355,"9,284.17",0.9284,126.9358,432.0,75.5901,"2,266.65",200.58,2.0058,15.0,175.4978,9.0732,"1,370.43","18,788","6,300",67.0339,"1,639.37","1,269.61",548.424,"1,091.89","3,815.79",,140.2166,"25,711.29",25.7113,250,6.1365,6.9777,6.976,6.9878,6.9725
67,07-Aug,481.4698,481.1005,247.0925,24.6561,"3,895.60","2,982.11",62.1129,"9,335.63",0.9337,126.3722,432.0,74.9708,"2,266.65",200.58,2.0058,15.0,175.5159,9.0679,"1,376.65","19,600","6,275",66.8992,"1,689.37","1,278.10",548.0723,"1,102.91","4,005.61",,140.0244,"25,595.16",25.5952,250,6.26,7.2277,7.2176,7.2302,7.0624
68,07-Sep,472.5647,472.525,252.3195,22.0683,"4,079.43","2,982.48",61.6333,"9,397.55",0.9398,125.6279,432.0,74.971,"2,266.65",200.58,2.0058,15.0,175.641,9.0811,"1,360.37","20,000","5,950",66.9839,"1,710.85","1,255.27",546.8498,"1,103.66","3,969.36",,139.4028,"25,734.67",25.7347,"19,087",6.2145,7.1153,7.1154,7.1205,7.1571
69,07-Oct,461.3079,461.3085,254.9437,19.0605,"4,181.57","2,983.12",61.5,"9,455.62",0.9456,123.4348,432.0,74.971,"2,266.65",200.58,2.0058,15.0,175.7966,9.0857,"1,357.34","20,900","6,000",66.8053,"1,748.64","1,176.07",545.7691,"1,125.81","3,832.26",,139.1976,"25,753.39",25.7534,"29,989",6.0173,6.7805,6.7715,6.7756,6.7937
70,07-Nov,447.4599,447.4137,253.1306,20.1317,"4,216.78","2,982.41",61.5,"9,670.31",0.967,119.3427,432.0,74.971,"2,266.65",200.58,2.0058,15.0,175.2043,9.0855,"1,376.59","21,675","5,738",65.5829,"1,708.82","1,143.39",545.1488,"1,136.87","3,765.15",,139.5147,"25,011.00",25.011,"29,991",5.9439,6.6943,6.6923,6.6933,6.636
71,07-Dec,450.7694,450.6695,254.034,21.8766,"4,263.44","2,982.59",61.5968,"9,706.49",0.9706,117.9775,432.0,74.971,"2,266.65",200.58,2.0058,15.0,175.5677,9.1434,"1,394.75","21,875","5,720",63.3245,"1,712.27","1,151.98",545.3048,"1,135.13","3,828.82",,139.9773,"24,031.45",24.0315,"30,017",6.0673,6.8458,6.8483,6.8485,6.862
72,08-Jan,446.0249,446.1252,251.7569,22.308000000000003,"4,283.34","2,977.47",61.75,"9,716.58",0.9717,117.6486,432.0,74.971,"2,266.65",200.58,2.0058,15.0,175.704,9.2297,"1,391.41","22,725","5,800",68.09,"1,699.85","1,161.84",543.9314,"1,136.75","3,783.19",,139.6142,"23,677.26",23.6773,"30,003",6.1116,6.9635,6.9587,6.9629,6.9182
73,08-Feb,445.6763,445.5824,252.0606,22.397,"4,303.94","2,974.74",61.75,"9,761.98",0.9762,117.3552,432.0,74.971,"2,266.65",200.5825,2.0058,15.0,175.8284,9.314,"1,396.08","22,250","5,800",70.4115,"1,711.19","1,159.45",543.3523,"1,150.81","3,751.65",,140.0078,"24,057.76",24.0578,"30,005",6.4504,7.6395,7.6356,7.644,7.5873
74,08-Mar,423.5159,423.3844,249.3981,21.5771,"4,342.51","2,971.34",61.75,"9,762.52",0.9763,116.5331,432.0,74.971,"2,266.65",202.1114,2.0211,15.0,175.7607,9.438,"1,398.55","23,350","5,740",64.9411,"1,703.65","1,186.67",544.4443,"1,171.39","3,676.23",,140.1001,"24,146.77",24.1468,"30,010",6.5674,7.9451,7.9906,7.9636,7.9373
75,08-Apr,416.2247,416.2963,246.5847,19.9288,"4,421.62","2,969.65",61.75,"9,886.74",0.9887,117.2962,432.0,74.971,"2,266.65",202.893,2.0289,15.0,176.015,9.5509,"1,399.41","28,750","5,800",62.2058,"1,685.23","1,217.35",544.4358,"1,171.59","3,517.33",,140.0548,"24,169.67",24.1697,"30,021",6.5006,7.8131,7.7973,7.8088,7.8019
76,08-May,421.1368,421.6028,242.0828,20.5579,"4,430.18","2,969.38",62.1855,"9,985.43",0.9985,117.5455,432.0,74.971,"2,266.65",203.3993,2.0340000000000003,15.0,175.9023,9.5845,"1,393.27","31,875","6,000",61.9809,"1,659.58","1,207.74",542.6693,"1,175.79","3,410.57",,140.1253,"24,190.00",24.19,"214,392,146",6.4333,7.6185,7.6179,7.6097,7.6094
77,08-Jun,421.4981,421.5014,236.9641,20.9675,"4,415.57","2,968.02",63.2833,"10,571.01",1.0571,117.4782,432.0,74.971,"2,266.65",205.4321,2.0543,15.0,175.6935,9.6068,"1,389.95","32,240","6,100",63.7414,"1,598.39","1,184.75",541.6144,"1,181.94","3,250.58",,140.327,"24,083.50",24.0835,"4,505,111,067",6.5964,7.9098,7.9246,7.8844,7.9095
78,08-Jul,415.6975,415.6945,231.8158,20.8885,"4,536.75","2,968.02",63.5,"11,049.94",1.105,117.5178,432.0,74.971,"2,266.65",207.0076,2.0701,15.0,175.4767,9.7393,"1,399.96","34,300","6,300",66.6389,"1,642.22","1,167.63",542.5145,"1,176.05","3,372.69",,140.5168,"24,061.13",24.0611,"26,573,629,997",6.4707,7.665,7.6558,7.6608,7.6749
79,08-Aug,437.241,437.4164,229.6729,21.5855,"4,641.91","2,968.02",63.5,"11,576.90",1.1577,117.6763,432.0,74.971,"2,266.65",209.6778,2.0968,15.0,175.6161,9.7817,"1,405.07","33,875","6,300",67.7816,"1,626.47","1,161.26",546.8928,"1,173.91","3,462.79",,141.6298,"24,006.45",24.0065,16,6.5569,7.6567,7.6405,7.6703,7.6436
80,08-Sep,456.3641,456.3633,230.3439,22.4209,"4,762.87","2,968.02",63.2,"11,546.63",1.1547,117.3262,432.0,74.971,"2,266.65",211.3846,2.1138,15.0,175.7201,9.7539,"1,400.87","35,225","6,350",71.444,"1,640.17","1,157.81",548.4286,"1,163.37","3,525.36",,141.2671,"24,110.33",24.1103,76,6.8067,8.0069,8.0109,8.0387,8.0414
81,08-Oct,490.5676,490.5678,238.5326,23.8728,"5,034.64","2,968.02",63.5,"11,673.76",1.1674,117.5559,432.0,74.971,"2,266.65",213.1765,2.1318,15.0,176.5483,9.7814,"1,422.44","35,225","6,300",76.3412,"1,774.32","1,231.34",551.5278,"1,174.22","4,029.86",,141.9208,"24,130.00",24.13,265,7.7052,9.7037,9.697,9.6512,9.6376
82,08-Nov,515.7383,515.7792,247.216,25.3902,"5,072.06","3,005.45",63.5,"11,890.13",1.189,117.9066,532.7717,74.971,"2,266.65",220.7042,2.2071,15.0,177.2988,9.8198,"1,428.84","34,467","6,000",78.1861,"1,872.17","1,255.56",553.448,"1,200.09","4,289.11",,142.5729,"24,284.33",24.2843,"19,123",8.0036,10.1298,10.1193,10.121,10.141
83,08-Dec,488.3781,488.3644,252.3941,26.8826,"5,104.36","3,029.57",63.2177,"12,403.41",1.2403,132.232,604.5128,74.971,"2,266.65",219.7512,2.1975,15.0,177.2138,9.9164,"1,416.63","34,067","6,300",77.874,"1,958.95","1,303.54",554.5029,"1,214.38","4,877.44",,142.7526,"24,767.74",24.7677,"939,593",7.8806,9.9633,9.9822,9.9837,9.9432
84,09-Jan,492.0357,492.0277,259.3756,26.3237,"4,834.65","3,035.35",64.4194,"12,979.33",1.2979,145.8283,676.6448,74.971,"2,266.65",221.3711,2.2137,15.0,176.5165,10.4897,"1,418.28","32,950","6,400",78.9858,"1,975.74","1,345.60",564.0649,"1,218.39","5,007.05",,142.1522,"25,286.61",25.2866,"17,916,338",7.8455,9.874,9.8555,9.8776,9.8276
85,09-Feb,511.7909,511.7847,257.4668,25.8864,"4,815.65","3,060.05",64.5,"13,633.99",1.3634,147.8366,714.1106,74.971,"2,266.65",223.1268,2.2313,15.0,175.6705,10.998,"1,402.86","28,600","6,500",79.4845,"1,970.21","1,317.94",565.8798,"1,211.85","5,385.49",,140.5618,"25,664.29",25.6643,"37,470,450",7.9594,10.0113,9.9853,10.011,10.0106
86,09-Mar,503.8077,503.8207,261.35900000000004,26.3876,"4,862.65","3,103.54",65.12899999999999,"14,011.71",1.4012,148.4203,771.0606,74.971,"2,266.65",228.1866,2.2819,15.0,178.0099,11.1778,"1,413.58","28,550","6,720",80.2096,"2,033.44","1,311.42",567.7306,"1,214.84","5,586.07",,140.8393,"26,473.87",26.4739,"37,433,404",7.9628,9.9641,9.9736,9.9711,9.9645
87,09-Apr,497.1213,497.1183,264.6047,26.5792,"4,923.18","3,156.19",65.7833,"14,293.95",1.4294,148.1288,823.3976,74.971,"2,266.65",231.2934,2.3129,15.0,178.4495,11.2169,"1,411.52","31,625","6,850",79.6585,"2,155.34","1,334.60",569.7462,"1,216.03","5,656.08",,141.1539,"26,618.50",26.6185,"37,433,404",7.528,9.079,9.0275,9.0548,9.0728
88,09-May,482.0202,481.9447,265.5489,26.4806,"4,790.87","3,196.82",67.7177,"14,564.79",1.4565,148.111,803.7260000000001,74.971,"2,266.65",235.6312,2.3563,15.0,177.4433,11.2493,"1,405.17","31,475","7,000",77.9957,"2,226.24","1,329.89",567.6509,"1,211.92","5,234.10",,142.0095,"26,605.16",26.6052,"37,433,404",7.1433,8.3789,8.3784,8.3852,8.3875
89,09-Jun,468.1435,468.1456,265.1331,26.4593,"4,837.37","3,247.67",69.8833,"14,874.59",1.4875,148.4501,767.4107,74.971,"2,266.65",237.8207,2.3782,15.0,177.5614,11.3017,"1,412.36","32,775","7,100",77.8829,"2,153.04","1,315.30",568.1768,"1,213.42","5,075.42",,143.4679,"26,600.67",26.6007,"37,433,404",6.92,8.0538,8.0447,8.0598,8.0644
90,09-Jul,465.91,465.9267,264.9323,26.5752,"4,835.92","3,306.07",71.0484,"14,996.23",1.4996,148.9729,769.2481,76.6949,"2,266.65",239.1166,2.3912,15.0,176.9019,11.344,"1,416.43","33,300","6,950",76.6931,"2,094.98","1,323.58",569.3065,"1,215.92","5,144.05",,140.9498,"26,628.06",26.6281,"37,433,404",6.8881,7.9625,7.9616,7.9716,7.9849
91,09-Aug,459.8843,459.4844,262.4829,26.7226,"4,861.50","3,466.49",72.0202,"14,770.31",1.477,155.5475,801.3626,77.6968,"2,266.65",242.4402,2.4244,15.0,175.7377,12.0667,"1,427.06","31,960","6,400",76.3856,"2,068.66","1,322.74",568.616,"1,222.76","4,876.28",,141.2585,"26,490.32",26.4903,"20,528,156",6.8941,7.9107,7.9242,7.9524,7.9207
92,09-Sep,450.8928,451.2848,260.6198,26.626,"5,014.20","3,591.31",72.4117,"14,533.13",1.4533,153.2301,812.9060000000002,77.7477,"2,266.65",238.1988,2.382,15.0,175.4206,12.5771,"1,436.43","32,250","6,500",75.5127,"1,972.23","1,308.84",568.7554,"1,232.47","4,647.25",,140.5262,"27,099.83",27.0998,355,6.6579,7.5309,7.5176,7.5465,7.5463
93,09-Oct,442.8829,442.8475,260.9312,26.7103,"5,007.76","3,741.26",71.329,"14,450.18",1.445,149.7792,812.9060000000002,78.87100000000002,"2,266.65",231.9724,2.3197,15.0,174.2418,12.6088,"1,450.31","32,150","6,700",75.2443,"1,917.90","1,316.30",569.3466,"1,229.21","4,666.05",,140.719,"27,881.29",27.8813,355,6.6176,7.4789,7.4707,7.4787,7.6842
94,09-Nov,440.2421,440.3078,261.7521,26.9621,"5,018.76","3,822.38",68.505,"14,317.29",1.4317,151.1245,812.9060000000002,85.9106,"2,266.65",231.9128,2.3191,15.0,170.2695,12.6339,"1,450.28","31,840","6,400",74.8038,"1,873.63","1,329.01",569.5111,"1,225.69","4,651.46",,142.0367,"28,267.83",28.2678,355,6.6641,7.5443,7.5398,7.5442,7.5326
95,09-Dec,448.9769,448.9082,262.5525,26.9928,"5,014.89","3,906.23",67.5226,"14,338.77",1.4339,149.8639,812.9060000000002,88.662,"2,266.65",231.6426,2.3164,15.0,172.2258,12.6886,"1,465.63","31,550","6,400",75.4465,"1,899.80","1,335.92",571.3573,"1,240.07","4,687.70",,145.2411,"28,695.16",28.6952,354,6.6919,7.4946,7.4949,7.4982,7.4971
